Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.0,0.0,0.0,13,0.0,0.0,0.037777778,0.0,0.0,1,2,2,1,2,2,False,False
1.0,0.0,0.0,16,0.0,0.022222222000000003,0.035555556,0.0,0.0,9,3,2,3,5,2,False,False
0.0,0.0,0.0,8,0.0,0.1,0.125,0.0,0.0,5,1,1,1,3,2,False,False
0.0,0.0,0.0,6,0.0,0.0,0.066666667,0.0,0.0,7,2,2,9,1,2,False,False
3.0,0.0,0.0,16,0.0,0.0,0.011111111000000002,1.0,0.0,9,3,2,1,4,2,True,True
0.0,0.0,0.0,9,0.0,0.066666667,0.111111111,0.0,0.0,9,3,2,4,3,2,False,False
2.0,0.0,0.0,39,2.0,0.0,0.020731707,0.0,0.0,7,2,2,4,2,2,False,False
0.0,0.0,0.0,15,2.0,0.025,0.06875,0.0,0.8,6,2,2,1,13,2,False,False
0.0,0.0,0.0,8,0.0,0.0,0.05,0.0,0.0,6,2,2,1,2,2,False,False
7.0,2.0,0.0,21,0.0,0.0,0.001282051,0.0,0.0,8,3,2,6,20,2,True,False
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,3,2,3,9,2,True,False
0.0,0.0,0.0,2,0.0,0.0,0.1,0.0,0.0,5,1,1,1,2,2,False,False
1.0,2.0,0.0,19,0.0,0.0,0.010526316,4.0,0.0,7,2,5,1,10,0,False,True
0.0,0.0,0.0,3,0.0,0.2,0.2,0.0,0.0,7,3,2,1,11,2,False,True
0.0,0.0,0.0,10,0.0,0.0,0.0074074069999999995,1.0,0.0,1,2,5,3,8,0,True,True
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,3,2,2,4,13,2,False,False
0.0,0.0,0.0,7,0.0,0.0,0.028571429,0.0,0.0,1,1,1,2,2,2,False,False
1.0,2.0,0.0,29,3.0,0.006060606,0.026262626,0.0,0.0,3,2,2,1,4,2,False,True
0.0,0.0,0.0,10,0.0,0.0,0.02,0.0,0.0,6,2,2,3,3,2,False,False
0.0,0.0,0.0,69,2.0,0.005797101,0.029227053,0.0,0.6,6,2,10,9,4,2,False,False
0.0,0.0,0.0,33,0.0,0.002631579,0.007894736999999999,0.0,0.0,5,2,2,4,3,2,True,False
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,3,3,2,4,1,2,False,False
1.0,0.0,0.0,14,0.0,0.08125,0.108333333,0.0,0.0,6,3,2,1,2,2,False,False
0.0,0.0,0.0,39,0.0,0.005128205,0.011965812,0.0,0.0,6,4,2,3,13,2,False,False
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,1.0,6,1,1,4,1,2,True,False
1.0,0.0,0.0,79,5.0,0.004878049000000001,0.022357724,0.0,0.0,8,2,4,1,2,2,False,True
0.0,0.0,0.0,3,0.0,0.0,0.066666667,0.0,0.0,5,2,2,1,3,2,False,False
0.0,0.0,0.0,3,0.0,0.2,0.2,0.0,0.0,6,1,1,4,4,2,True,False
0.0,0.0,0.0,13,0.0,0.0,0.028205128,0.0,0.8,6,1,1,1,2,2,False,False
0.0,0.0,0.0,3,0.0,0.0,0.033333333,0.0,0.0,2,3,2,1,5,2,False,False
0.0,0.0,0.0,19,0.0,0.0,0.005263158,0.0,0.0,5,2,4,1,3,2,True,False
0.0,0.0,0.0,9,0.0,0.0,0.025,3.0,1.0,6,2,2,2,4,2,True,True
0.0,0.0,0.0,3,0.0,0.066666667,0.166666667,0.0,0.0,5,1,1,3,3,2,False,False
1.0,2.0,0.0,10,0.0,0.042857143,0.05952381,3.0,0.0,5,2,6,3,2,2,False,True
0.0,0.0,0.0,2,0.0,0.0,0.05,0.0,0.0,7,2,2,1,10,0,False,False
1.0,0.0,0.0,37,2.0,0.005263158,0.028070175,0.0,0.0,5,2,2,1,1,2,False,False
0.0,0.0,0.0,11,0.0,0.0,0.018181818,0.0,0.0,1,4,1,1,2,2,False,False
0.0,0.0,0.0,3,0.0,0.2,0.2,0.0,0.0,1,1,1,1,3,2,False,False
2.0,0.0,0.0,17,1.0,0.02,0.02,0.0,0.0,1,3,2,1,10,2,True,False
0.0,0.0,0.0,30,1.0,0.006666666999999999,0.048333333,0.0,0.6,6,4,2,1,1,2,False,False
0.0,0.0,0.0,23,1.0,0.024347826,0.02402746,0.0,0.0,7,3,2,2,13,2,False,False
3.0,5.0,3.0,21,0.0,0.006896551999999999,0.02183908,0.0,0.0,1,2,2,4,2,0,False,False
0.0,0.0,0.0,23,0.0,0.0,0.035507246,0.0,0.8,6,2,2,7,1,2,False,False
0.0,0.0,0.0,30,0.0,0.0,0.0125,0.0,0.0,8,2,2,7,1,2,False,False
4.0,0.0,0.0,36,1.0,0.025,0.046851852,0.0,0.0,7,2,2,9,1,2,False,False
2.0,0.0,0.0,28,1.0,0.00625,0.0125,0.0,0.0,7,2,2,5,2,0,True,False
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,3,2,3,3,2,False,False
0.0,0.0,0.0,9,0.0,0.022222222000000003,0.074074074,0.0,0.0,4,1,1,2,3,2,True,False
0.0,0.0,0.0,15,0.0,0.02,0.032222222,0.0,0.0,3,1,8,1,1,2,False,False
0.0,2.0,1.0,31,1.0,0.003225806,0.027956988999999998,0.0,0.0,7,2,2,1,13,2,False,False
0.0,0.0,0.0,14,0.0,0.071428571,0.11428571400000001,0.0,1.0,6,3,2,1,13,2,True,False
0.0,0.0,0.0,3,0.0,0.066666667,0.133333333,0.0,0.0,1,2,4,7,3,2,False,False
0.0,0.0,0.0,6,0.0,0.0,0.066666667,0.0,0.0,8,1,1,7,2,2,True,False
1.0,0.0,0.0,39,0.0,0.015789473999999998,0.026754386,0.0,0.0,3,2,2,1,4,2,False,False
1.0,0.0,0.0,5,0.0,0.04444444400000001,0.059259259,0.0,0.0,1,1,1,4,2,2,True,False
0.0,0.0,0.0,11,0.0,0.018181818,0.054545455,0.0,0.0,7,2,2,1,3,2,False,False
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,7,2,2,6,13,2,True,False
0.0,0.0,0.0,10,0.0,0.14,0.16,0.0,0.8,6,2,5,2,3,2,False,False
1.0,0.0,0.0,36,2.0,0.038888888999999996,0.052777778,0.0,0.4,6,2,2,1,2,2,False,False
0.0,0.0,0.0,7,0.0,0.0,0.057142857000000005,0.0,0.0,6,4,1,3,3,2,False,False
0.0,0.0,0.0,15,0.0,0.013333333000000001,0.013333333000000001,0.0,0.0,1,1,1,3,8,0,False,False
2.0,0.0,0.0,34,1.0,0.0,0.011764706000000002,0.0,0.0,7,3,3,2,11,0,False,False
0.0,5.0,0.0,71,5.0,0.031506848999999996,0.05534246599999999,0.0,0.0,9,4,1,9,3,2,True,False
3.0,0.0,0.0,22,0.0,0.028571429,0.029761905,0.0,0.0,7,3,2,2,4,2,False,False
0.0,0.0,0.0,2,0.0,0.0,0.1,0.0,0.0,7,4,5,9,11,0,False,False
0.0,0.0,0.0,20,0.0,0.0,0.015357143,0.0,0.0,1,2,2,3,2,2,False,False
4.0,0.0,0.0,163,7.0,0.008383234,0.021052657000000002,1.0,0.0,7,2,4,3,2,2,False,True
0.0,0.0,0.0,8,1.0,0.022222222000000003,0.03968254,0.0,0.0,7,1,1,3,1,2,False,True
4.0,5.0,2.0,34,1.0,0.010810811000000002,0.029597243999999998,0.0,0.0,6,3,2,4,2,2,False,False
3.0,0.0,0.0,73,2.0,0.010295359,0.019108884,0.0,0.0,7,3,2,8,2,2,True,False
3.0,0.0,0.0,36,1.0,0.040350877,0.06941410099999999,0.0,0.0,8,3,2,6,1,2,True,False
0.0,0.0,0.0,25,2.0,0.004,0.052000000000000005,0.0,0.0,6,2,2,1,19,2,False,False
0.0,0.0,0.0,12,0.0,0.016666667,0.033333333,0.0,0.0,6,2,2,3,3,2,False,False
2.0,0.0,0.0,16,0.0,0.0,0.010526316,0.0,0.0,8,1,1,3,2,2,True,False
3.0,0.0,0.0,31,2.0,0.006666666999999999,0.02,0.0,0.0,6,3,2,6,13,2,False,False
0.0,0.0,0.0,64,4.0,0.005555556,0.020580808,1.0,0.6,6,2,2,2,4,2,False,True
0.0,0.0,0.0,39,4.0,0.0,0.01025641,0.0,0.0,5,2,2,1,10,2,False,False
0.0,0.0,0.0,22,1.0,0.0,0.021212121,0.0,0.0,7,2,2,1,3,2,False,False
1.0,0.0,0.0,8,0.0,0.0,0.005128205,0.0,0.0,4,2,2,1,5,0,False,False
0.0,0.0,0.0,17,0.0,0.011764706000000002,0.019607843,0.0,0.0,7,1,1,3,3,2,False,False
1.0,0.0,0.0,14,0.0,0.0,0.0044444440000000005,0.0,0.0,5,2,2,3,2,2,False,False
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,7,2,4,3,1,2,False,False
0.0,0.0,0.0,10,0.0,0.0,0.022222222000000003,0.0,0.0,6,1,1,1,1,2,True,False
0.0,5.0,1.0,27,1.0,0.0,0.014367816,0.0,0.0,6,4,2,1,2,2,True,False
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,6,1,1,6,4,2,True,False
3.0,5.0,2.0,35,1.0,0.010810811000000002,0.027027027000000002,2.0,0.0,7,1,1,1,2,2,True,True
0.0,0.0,0.0,8,0.0,0.075,0.08,0.0,0.0,5,1,1,7,3,2,True,False
2.0,0.0,0.0,50,2.0,0.008611111,0.02038584,3.0,0.0,9,3,2,3,4,2,False,False
0.0,0.0,0.0,13,2.0,0.0,0.015384615,0.0,0.0,1,2,2,1,2,2,True,False
0.0,0.0,0.0,22,4.0,0.0020833329999999997,0.039814815,0.0,0.0,7,4,2,1,2,2,False,False
0.0,2.0,0.0,8,0.0,0.022222222000000003,0.04444444400000001,0.0,0.6,6,1,1,6,3,2,False,False
0.0,0.0,0.0,51,2.0,0.004081633,0.020779221,0.0,0.6,6,2,2,4,1,2,False,False
2.0,0.0,0.0,92,5.0,0.001075269,0.0095145,6.0,0.0,7,2,2,1,1,2,False,True
6.0,0.0,0.0,26,1.0,0.0,0.014942529,2.0,0.0,1,1,1,1,8,0,True,False
0.0,0.0,0.0,22,0.0,0.0,0.010690797,0.0,0.8,6,3,2,1,4,2,False,False
0.0,0.0,0.0,39,0.0,0.015789473999999998,0.046491227999999996,0.0,0.4,6,2,5,3,3,2,False,False
0.0,0.0,0.0,65,1.0,0.0,0.02359375,0.0,0.8,6,2,5,4,2,2,False,False
1.0,0.0,0.0,96,2.0,0.003921569000000001,0.008309991,1.0,0.0,8,2,2,1,3,2,False,False
0.0,0.0,0.0,26,1.0,0.015384615,0.026098901,4.0,0.0,7,3,2,9,20,2,True,False
0.0,0.0,0.0,7,0.0,0.057142857000000005,0.14285714300000002,0.0,0.0,5,3,2,8,1,2,False,False
1.0,0.0,0.0,41,2.0,0.031060606,0.046893939,0.0,0.0,4,2,2,1,1,2,False,False
2.0,0.0,0.0,28,1.0,0.0,0.0034482759999999997,0.0,0.0,5,2,2,1,2,0,False,False
0.0,0.0,0.0,2,0.0,0.0,0.1,0.0,0.0,1,3,2,3,13,2,False,False
0.0,2.0,1.0,16,0.0,0.0,0.021052632,0.0,1.0,6,3,2,3,4,0,True,False
1.0,0.0,0.0,14,0.0,0.0,0.010526316,0.0,0.0,9,2,2,1,5,0,False,False
1.0,2.0,2.0,113,6.0,0.008004925999999999,0.019004516000000003,2.0,0.0,1,3,2,1,1,2,True,False
3.0,0.0,0.0,10,0.0,0.0,0.045454545,0.0,0.0,6,2,2,3,1,2,False,False
0.0,0.0,0.0,159,7.0,0.005696203,0.016284567,0.0,0.4,6,2,2,2,2,2,False,False
0.0,0.0,0.0,37,1.0,0.05,0.079573935,0.0,0.6,6,2,2,3,11,2,False,False
2.0,0.0,0.0,23,1.0,0.022222222000000003,0.030246914,0.0,0.0,0,2,5,5,1,2,False,False
4.0,5.0,0.0,82,2.0,0.002325581,0.010385835,1.0,0.0,6,3,2,3,2,2,False,False
0.0,0.0,0.0,4,0.0,0.1,0.15,0.0,0.6,6,2,2,1,3,2,False,False
0.0,7.0,2.0,6,0.0,0.0,0.02,0.0,0.8,6,1,1,7,3,2,False,False
0.0,0.0,0.0,10,0.0,0.0,0.0125,0.0,0.0,1,3,12,1,1,2,True,False
3.0,0.0,0.0,50,1.0,0.007843137,0.018300654,0.0,0.0,5,2,2,3,3,2,False,False
0.0,0.0,0.0,16,0.0,0.0,0.0125,0.0,0.0,5,1,1,3,2,2,False,False
5.0,0.0,0.0,14,0.0,0.0,0.010526316,0.0,0.0,7,1,1,1,2,0,False,False
0.0,0.0,0.0,23,1.0,0.0,0.019927536000000003,0.0,0.8,6,3,2,8,4,2,False,False
0.0,0.0,0.0,20,0.0,0.0,0.00125,0.0,0.0,7,1,1,1,3,2,False,False
1.0,0.0,0.0,35,2.0,0.0,0.007309581999999999,0.0,0.0,5,3,2,4,2,2,True,False
0.0,0.0,0.0,22,1.0,0.021212121,0.046969697000000005,0.0,0.0,3,3,2,3,4,2,True,False
0.0,0.0,0.0,12,0.0,0.0,0.008333333,0.0,0.0,7,2,2,3,2,0,False,True
4.0,2.0,1.0,39,1.0,0.005426357,0.017585825,0.0,0.0,1,1,2,8,1,2,False,False
6.0,0.0,0.0,29,3.0,0.005555556,0.015762787,0.0,0.0,6,2,4,1,1,2,False,False
0.0,0.0,0.0,15,0.0,0.013333333000000001,0.046666667,0.0,0.0,4,2,2,1,2,2,False,False
2.0,0.0,0.0,56,1.0,0.0017241379999999998,0.015842912,0.0,0.0,7,1,1,1,10,2,True,False
0.0,0.0,0.0,17,0.0,0.041176471,0.06764705900000001,0.0,0.4,6,1,1,4,3,2,False,False
0.0,0.0,0.0,26,0.0,0.0,0.015873016,0.0,0.0,6,4,1,1,1,2,False,False
0.0,0.0,0.0,15,0.0,0.0,0.033333333,0.0,0.8,6,4,1,4,2,2,False,False
0.0,0.0,0.0,15,0.0,0.0,0.033333333,0.0,0.0,3,2,2,1,2,2,False,False
0.0,0.0,0.0,5,0.0,0.0,0.033333333,0.0,0.0,8,3,2,1,3,2,False,False
3.0,5.0,1.0,22,1.0,0.0,0.0061904759999999994,4.0,0.0,6,3,2,3,2,0,False,True
1.0,0.0,0.0,5,0.0,0.025,0.04375,0.0,0.0,6,3,2,1,13,2,False,False
1.0,0.0,0.0,34,1.0,0.005714286,0.019142857,3.0,0.0,6,1,8,1,4,2,False,False
5.0,7.0,3.0,156,6.0,0.000170068,0.011252928999999998,0.0,0.0,6,2,2,2,4,2,False,False
0.0,0.0,0.0,31,1.0,0.02,0.040555556,0.0,0.4,6,2,2,1,3,2,False,False
0.0,2.0,1.0,22,0.0,0.0,0.008695652,0.0,0.0,5,2,2,1,2,0,True,False
0.0,0.0,0.0,4,0.0,0.05,0.066666667,0.0,0.0,6,1,1,2,3,2,False,False
3.0,0.0,0.0,13,0.0,0.0,0.03125,0.0,0.0,6,1,1,8,4,2,False,False
4.0,0.0,0.0,12,1.0,0.0,0.007692308,0.0,0.0,5,1,1,1,9,2,False,False
0.0,0.0,0.0,17,0.0,0.0,0.014705882,0.0,0.0,1,2,2,3,1,2,False,True
0.0,0.0,0.0,12,0.0,0.05,0.066666667,0.0,0.0,2,1,1,1,3,2,False,False
0.0,0.0,0.0,7,0.0,0.0,0.014285714,0.0,0.0,7,1,1,7,10,2,True,False
0.0,0.0,0.0,7,0.0,0.0,0.025,0.0,0.0,7,2,2,6,6,1,False,False
4.0,0.0,0.0,4,0.0,0.0,0.014285714,0.0,0.0,8,3,2,1,2,2,False,False
2.0,0.0,0.0,38,1.0,0.030769231,0.05,0.0,0.0,7,1,8,1,1,2,False,False
7.0,7.0,2.0,42,3.0,0.021288515,0.041498896,0.0,0.6,6,1,1,3,2,2,False,False
0.0,0.0,0.0,3,0.0,0.0,0.011111111000000002,0.0,0.0,8,2,2,1,2,2,True,False
4.0,0.0,0.0,21,1.0,0.0,0.008695652,0.0,0.0,1,8,13,9,20,1,False,False
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,6,2,4,1,6,2,False,False
0.0,0.0,0.0,2,0.0,0.0,0.033333333,0.0,0.0,7,1,1,5,10,2,True,False
3.0,7.0,5.0,153,6.0,0.003012048,0.013769082,1.0,0.0,1,2,2,3,1,2,False,False
0.0,0.0,0.0,21,1.0,0.019047619,0.047619048,0.0,0.0,7,3,2,1,10,2,False,False
3.0,0.0,0.0,23,1.0,0.0,0.008,0.0,0.0,9,1,1,1,2,0,False,False
5.0,0.0,0.0,62,5.0,0.003037975,0.019685462,1.0,0.0,7,2,2,1,10,2,True,False
2.0,0.0,0.0,36,1.0,0.0,0.010526316,0.0,0.0,0,2,4,8,6,0,True,False
0.0,5.0,0.0,44,1.0,0.008510638000000001,0.018561297,0.0,0.0,8,2,2,1,1,2,False,False
0.0,0.0,0.0,4,0.0,0.0,0.05,0.0,0.0,5,2,4,3,3,2,False,False
0.0,0.0,0.0,4,0.0,0.05,0.1,0.0,0.0,5,2,4,6,3,2,True,False
2.0,0.0,0.0,7,0.0,0.0,0.02962963,0.0,0.0,0,2,2,7,2,2,False,False
0.0,0.0,0.0,7,2.0,0.082142857,0.08,0.0,0.0,1,2,5,1,8,2,True,False
2.0,0.0,0.0,59,5.0,0.002985075,0.011923715,1.0,0.0,5,2,4,2,2,2,True,True
2.0,0.0,0.0,96,3.0,0.00742268,0.014405743,0.0,0.0,1,1,1,1,1,2,False,False
0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0,1,1,8,2,2,False,False
0.0,0.0,0.0,16,0.0,0.0,0.04375,0.0,0.0,5,2,4,1,3,2,False,False
2.0,0.0,0.0,2,0.0,0.0,0.05,0.0,0.0,5,2,2,1,2,0,False,False
0.0,0.0,0.0,6,0.0,0.033333333,0.066666667,0.0,0.0,7,2,2,3,2,0,False,False
0.0,0.0,0.0,6,0.0,0.033333333,0.075,0.0,0.0,1,3,2,3,1,2,True,False
1.0,5.0,1.0,37,2.0,0.011149826000000002,0.027235772000000002,0.0,0.0,7,3,2,3,2,2,False,False
0.0,0.0,0.0,5,0.0,0.066666667,0.083333333,0.0,0.6,6,2,2,1,1,2,False,False
0.0,0.0,0.0,3,0.0,0.0,0.066666667,0.0,0.0,5,2,7,4,3,2,True,False
0.0,5.0,7.0,54,2.0,0.0,0.006779661,1.0,0.0,5,2,2,7,2,0,False,False
4.0,0.0,0.0,45,1.0,0.000531915,0.029964539,2.0,0.2,6,1,2,4,4,2,False,False
0.0,0.0,0.0,68,5.0,0.003361345,0.01146836,0.0,0.0,5,1,1,2,1,2,False,False
0.0,0.0,0.0,6,0.0,0.0,0.033333333,0.0,0.6,6,2,2,1,13,2,False,False
0.0,0.0,0.0,36,1.0,0.005714286,0.017142857,0.0,0.0,9,2,2,3,13,2,False,False
0.0,0.0,0.0,20,2.0,0.01,0.022222222000000003,0.0,0.0,5,2,2,1,1,2,False,False
1.0,0.0,0.0,36,2.0,0.0,0.00995086,0.0,0.2,6,2,10,4,1,2,False,False
2.0,0.0,0.0,61,3.0,0.009375,0.032135417,0.0,0.0,1,2,1,1,2,2,False,True
0.0,0.0,0.0,39,3.0,0.0,0.020512821,0.0,0.0,7,2,4,4,2,2,False,False
1.0,0.0,0.0,21,0.0,0.0,0.026666667,0.0,0.0,9,2,2,3,2,2,False,False
0.0,0.0,0.0,8,0.0,0.0,0.025,0.0,0.0,1,2,2,3,1,2,False,False
7.0,0.0,0.0,38,2.0,0.005980066,0.015724311,4.0,0.0,9,2,4,7,4,2,False,False
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,3,2,3,1,2,True,False
1.0,0.0,0.0,16,1.0,0.011764706000000002,0.043137255,0.0,0.0,8,2,2,1,3,2,False,False
0.0,0.0,0.0,57,7.0,0.0,0.030621469,1.0,0.0,6,2,2,1,1,2,False,False
0.0,0.0,0.0,4,0.0,0.0,0.05,0.0,0.0,6,1,1,7,2,2,False,False
0.0,0.0,0.0,4,0.0,0.15,0.1625,0.0,0.0,6,2,2,4,13,2,False,False
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,3,2,3,1,2,True,False
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,3,2,3,1,2,False,False
1.0,7.0,3.0,69,5.0,0.004761905,0.00985167,0.0,0.0,6,1,1,1,4,2,False,False
1.0,0.0,0.0,19,2.0,0.011764706000000002,0.030392157000000003,5.0,0.0,7,2,2,1,13,2,False,True
0.0,2.0,0.0,11,0.0,0.05,0.083333333,0.0,0.0,1,3,2,1,1,2,False,False
0.0,0.0,0.0,4,0.0,0.0,0.05,0.0,0.0,1,2,10,1,2,2,False,False
0.0,0.0,0.0,40,5.0,0.0,0.016666667,0.0,0.0,7,2,2,8,10,2,False,False
0.0,0.0,0.0,15,1.0,0.003571429,0.053571429000000004,0.0,0.0,5,3,2,1,1,2,False,False
0.0,0.0,0.0,4,0.0,0.0,0.05,0.0,0.0,6,1,1,1,2,2,True,False
0.0,0.0,0.0,56,2.0,0.016071428999999998,0.0175,0.0,0.0,1,3,2,1,3,2,False,False
5.0,0.0,0.0,12,0.0,0.0,0.007142857,0.0,0.0,7,1,2,3,2,0,False,False
0.0,0.0,0.0,88,2.0,0.0,0.005128205,0.0,0.0,4,2,5,1,2,2,True,False
0.0,0.0,0.0,62,4.0,0.04781874,0.061364567,0.0,0.0,3,3,2,3,13,2,True,False
0.0,0.0,0.0,32,4.0,0.027083332999999998,0.038541667,0.0,0.0,6,3,2,3,2,2,False,False
0.0,0.0,0.0,8,0.0,0.0,0.025,0.0,0.0,5,2,2,1,1,2,False,False
1.0,0.0,0.0,2,0.0,0.0,0.066666667,0.0,0.0,7,4,2,6,8,0,False,False
0.0,0.0,0.0,6,0.0,0.0,0.057142857000000005,0.0,0.0,8,2,2,1,2,2,False,False
0.0,0.0,0.0,3,0.0,0.0,0.066666667,0.0,0.0,1,4,1,3,2,2,True,False
0.0,0.0,0.0,16,0.0,0.0,0.052631579000000005,0.0,0.0,5,2,5,7,2,2,False,False
0.0,0.0,0.0,5,0.0,0.02,0.013333333000000001,0.0,0.0,5,1,1,2,9,2,True,False
0.0,0.0,0.0,25,0.0,0.0,0.022666667,0.0,0.4,6,2,2,1,13,2,False,False
0.0,0.0,0.0,24,1.0,0.0,0.017207792,0.0,0.0,7,1,1,1,3,2,True,False
0.0,0.0,0.0,33,0.0,0.012903226,0.014721408,0.0,0.0,7,1,1,9,2,2,False,False
3.0,7.0,3.0,39,2.0,0.0,0.008695652,0.0,0.0,5,2,2,1,1,2,False,False
0.0,0.0,0.0,4,0.0,0.0,0.05,0.0,0.0,7,2,2,3,11,2,True,False
0.0,2.0,0.0,8,0.0,0.022222222000000003,0.022222222000000003,0.0,0.6,6,1,1,1,1,2,False,False
0.0,0.0,0.0,20,0.0,0.01,0.04,0.0,0.0,6,2,4,3,1,2,False,False
0.0,0.0,0.0,11,0.0,0.0,0.006666666999999999,0.0,0.0,5,3,2,3,3,2,True,False
0.0,0.0,0.0,25,1.0,0.016,0.0296,0.0,0.0,1,3,2,4,13,2,False,False
2.0,5.0,1.0,30,1.0,0.0,0.012952381,4.0,0.0,7,2,2,4,2,2,False,False
0.0,0.0,0.0,14,0.0,0.0,0.015384615,5.0,0.0,5,2,2,1,2,0,False,True
0.0,0.0,0.0,22,1.0,0.056060606,0.079518398,0.0,0.0,9,3,2,3,1,2,True,False
0.0,0.0,0.0,49,5.0,0.012244898,0.027210883999999998,0.0,0.0,7,2,2,7,2,2,False,False
0.0,0.0,0.0,9,0.0,0.055555556,0.12222222199999999,0.0,1.0,6,2,6,1,2,2,True,False
0.0,0.0,0.0,10,0.0,0.0,0.018181818,0.0,0.0,6,2,5,9,4,2,False,False
1.0,0.0,0.0,8,0.0,0.0,0.02,0.0,0.0,7,2,2,3,2,2,False,False
0.0,0.0,0.0,4,0.0,0.0,0.05,0.0,0.8,6,3,2,3,2,2,False,False
0.0,0.0,0.0,13,2.0,0.0,0.033333333,0.0,0.0,6,2,2,1,2,2,False,False
5.0,0.0,0.0,147,6.0,0.003797468,0.010521398000000001,0.0,0.0,7,2,2,1,8,2,False,True
0.0,0.0,0.0,9,0.0,0.0,0.033333333,0.0,0.0,6,2,2,1,13,2,False,False
0.0,0.0,0.0,3,0.0,0.066666667,0.133333333,0.0,0.0,1,2,2,9,3,2,False,False
0.0,5.0,0.0,16,0.0,0.010526316,0.021052632,0.0,0.0,3,2,2,7,1,2,False,False
2.0,0.0,0.0,3,0.0,0.022222222000000003,0.04444444400000001,0.0,0.0,8,3,2,4,4,0,True,False
1.0,2.0,1.0,54,3.0,0.007272727,0.014545455,0.0,0.0,1,1,1,1,10,2,True,False
6.0,0.0,0.0,40,2.0,0.025,0.026035354,1.0,0.0,6,2,2,5,3,2,True,True
